,Geographic Area Name,Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households
1062,"Fairview, TN Urban Cluster (2010)",70755
1063,"Fajardo, PR Urbanized Area (2010)",19762
1064,"Falfurrias, TX Urban Cluster (2010)",26204
1065,"Fallon, NV Urban Cluster (2010)",51036
1066,"Falls City, NE Urban Cluster (2010)",43036
1067,"Fargo, ND&MN Urbanized Area (2010)",61043
1068,"Faribault, MN Urban Cluster (2010)",52643
1069,"Farmersville, TX Urban Cluster (2010)",42857
1070,"Farmerville, LA Urban Cluster (2010)",27055
1071,"Farmington, ME Urban Cluster (2010)",40380
1072,"Farmington, MO Urban Cluster (2010)",42242
1073,"Farmington, NH Urban Cluster (2010)",44154
1074,"Farmington, NM Urbanized Area (2010)",53769
1075,"Farmville, NC Urban Cluster (2010)",46509
1076,"Farmville, VA Urban Cluster (2010)",35903
1077,"Fayette, AL Urban Cluster (2010)",36071
1078,"Fayette, MO Urban Cluster (2010)",46515
1079,"Fayetteville, NC Urbanized Area (2010)",46442
1080,"Fayetteville, TN Urban Cluster (2010)",41808
1081,"Fayetteville&Springdale&Rogers, AR&MO Urbanized Area (2010)",56282
1082,"Fearrington Village, NC Urban Cluster (2010)",73380
1083,"Federalsburg, MD Urban Cluster (2010)",42014
1084,"Fellsmere, FL Urban Cluster (2010)",27390
1085,"Fergus Falls, MN Urban Cluster (2010)",40596
1086,"Fernandina Beach, FL Urban Cluster (2010)",74908
1087,"Fernley, NV Urban Cluster (2010)",58266
1088,"Ferriday, LA Urban Cluster (2010)",20672
1089,"Filer, ID Urban Cluster (2010)",43417
1090,"Fillmore, CA Urban Cluster (2010)",76590
1091,"Findlay, OH Urban Cluster (2010)",53453
1092,"Firebaugh, CA Urban Cluster (2010)",33265
1093,"Firestone&Frederick, CO Urban Cluster (2010)",91171
1094,"Fitzgerald, GA Urban Cluster (2010)",25224
1095,"Flagstaff, AZ Urbanized Area (2010)",59947
1096,"Flemingsburg, KY Urban Cluster (2010)",33822
1097,"Flint, MI Urbanized Area (2010)",45568
1098,"Flora, IL Urban Cluster (2010)",47471
1099,"Florence, AL Urbanized Area (2010)",43647
1100,"Florence, AZ Urban Cluster (2010)",39063
1101,"Florence, CO Urban Cluster (2010)",48385
1102,"Florence, OR Urban Cluster (2010)",41639
1103,"Florence, SC Urbanized Area (2010)",45622
1104,"Floresville, TX Urban Cluster (2010)",54113
1105,"Florida&Imbéry&Barceloneta, PR Urbanized Area (2010)",19364
1106,"Floydada, TX Urban Cluster (2010)",43162
1107,"Foley, AL Urban Cluster (2010)",46723
1108,"Folkston, GA Urban Cluster (2010)",27875
1109,"Fond du Lac, WI Urbanized Area (2010)",55711
1110,"Fordyce, AR Urban Cluster (2010)",32500
1111,"Forest, MS Urban Cluster (2010)",26444
1112,"Forest City, IA Urban Cluster (2010)",50016
1113,"Forest City, NC Urban Cluster (2010)",36277
1114,"Forest Lake, MN Urban Cluster (2010)",79943
1115,"Forestville, CA Urban Cluster (2010)",62287
1116,"Forks, WA Urban Cluster (2010)",36948
1117,"Forney, TX Urban Cluster (2010)",92870
1118,"Forrest City, AR Urban Cluster (2010)",30956
1119,"Forsyth, GA Urban Cluster (2010)",31220
1120,"Forsyth, MO Urban Cluster (2010)",38110
1121,"Fort Atkinson, WI Urban Cluster (2010)",58237
1122,"Fort Bragg, CA Urban Cluster (2010)",44469
1123,"Fort Branch, IN Urban Cluster (2010)",59429
1124,"Fort Collins, CO Urbanized Area (2010)",68831
1125,"Fort Defiance, AZ&NM Urban Cluster (2010)",38672
1126,"Fort Dodge, IA Urban Cluster (2010)",41901
1127,"Fort Irwin, CA Urban Cluster (2010)",54787
1128,"Fort Leonard Wood, MO Urban Cluster (2010)",52768
1129,"Fort Lupton, CO Urban Cluster (2010)",61699
1130,"Fort Madison, IA&IL Urban Cluster (2010)",43708
1131,"Fort Meade, FL Urban Cluster (2010)",43464
1132,"Fort Morgan, CO Urban Cluster (2010)",50358
1133,"Fort Payne, AL Urban Cluster (2010)",25698
1134,"Fort Plain, NY Urban Cluster (2010)",38750
1135,"Fort Polk, LA Urban Cluster (2010)",48509
1136,"Fort Scott, KS Urban Cluster (2010)",35580
1137,"Fort Smith, AR&OK Urbanized Area (2010)",42899
1138,"Fort Stockton, TX Urban Cluster (2010)",50077
1139,"Fortuna, CA Urban Cluster (2010)",45906
1140,"Fort Valley, GA Urban Cluster (2010)",24032
1141,"Fort Walton Beach&Navarre&Wright, FL Urbanized Area (2010)",67634
1142,"Fort Wayne, IN Urbanized Area (2010)",52824
1143,"Fostoria, OH Urban Cluster (2010)",41122
1144,"Four Corners, FL Urban Cluster (2010)",56962
1145,"Four Corners, MT Urban Cluster (2010)",78377
1146,"Fowlerville, MI Urban Cluster (2010)",53780
1147,"Frankenmuth, MI Urban Cluster (2010)",62209
1148,"Frankfort, IN Urban Cluster (2010)",40913
1149,"Frankfort, KY Urban Cluster (2010)",53730
1150,"Franklin, KY Urban Cluster (2010)",40985
1151,"Franklin, LA Urban Cluster (2010)",40625
1152,"Franklin, NH Urban Cluster (2010)",47828
1153,"Franklin, NC Urban Cluster (2010)",37953
1154,"Franklin (Venango County), PA Urban Cluster (2010)",43864
1155,"Franklin, VA Urban Cluster (2010)",38047
1156,"Franklin&Highland Lake, NJ Urban Cluster (2010)",87829
1157,"Franklinton, LA Urban Cluster (2010)",26058
1158,"Fraser, CO Urban Cluster (2010)",51016
1159,"Frazier Park, CA Urban Cluster (2010)",34415
1160,"Frederick, MD Urbanized Area (2010)",93715
1161,"Frederick, OK Urban Cluster (2010)",37273
1162,"Fredericksburg, TX Urban Cluster (2010)",51355
1163,"Fredericksburg, VA Urbanized Area (2010)",85238
1164,"Fredericktown, MO Urban Cluster (2010)",30688
1165,"Freeport, IL Urban Cluster (2010)",39788
1166,"Fremont, MI Urban Cluster (2010)",41757
1167,"Fremont, NE Urban Cluster (2010)",49594
1168,"Fremont, OH Urban Cluster (2010)",44891
1169,"Fresno, CA Urbanized Area (2010)",55549
1170,"Friona, TX Urban Cluster (2010)",53786
1171,"Fritch, TX Urban Cluster (2010)",54875
1172,"Front Royal, VA Urban Cluster (2010)",56686
1173,"Frostproof, FL Urban Cluster (2010)",41006
1174,"Fulton, KY&TN Urban Cluster (2010)",28892
1175,"Fulton, MS Urban Cluster (2010)",28158
1176,"Fulton, MO Urban Cluster (2010)",46520
1177,"Gadsden, AL Urbanized Area (2010)",40972
1178,"Gaffney, SC Urban Cluster (2010)",30768
1179,"Gainesville, FL Urbanized Area (2010)",46097
1180,"Gainesville, GA Urbanized Area (2010)",58840
1181,"Gainesville, TX Urban Cluster (2010)",44156
1182,"Galax, VA Urban Cluster (2010)",34214
1183,"Galena, IL Urban Cluster (2010)",55364
1184,"Galena, KS&MO Urban Cluster (2010)",41058
1185,"Galesburg, IL Urban Cluster (2010)",38780
1186,"Galion, OH Urban Cluster (2010)",37920
1187,"Galliano&Larose&Cut Off, LA Urban Cluster (2010)",56814
1188,"Gallup, NM Urban Cluster (2010)",48015
1189,"Galt, CA Urban Cluster (2010)",75811
1190,"Galveston, TX Urban Cluster (2010)",45991
1191,"Garden City, KS Urban Cluster (2010)",55828
1192,"Gardnerville Ranchos, NV Urban Cluster (2010)",58692
1193,"Garner, IA Urban Cluster (2010)",69459
1194,"Garnett, KS Urban Cluster (2010)",38125
1195,"Garrettsville, OH Urban Cluster (2010)",49908
1196,"Gastonia, NC&SC Urbanized Area (2010)",52014
1197,"Gatesville, TX Urban Cluster (2010)",41523
1198,"Gautier, MS Urban Cluster (2010)",57741
1199,"Gaylord, MI Urban Cluster (2010)",44694
1200,"Geneseo, IL Urban Cluster (2010)",62292
1201,"Geneseo, NY Urban Cluster (2010)",27403
1202,"Geneva, AL Urban Cluster (2010)",43503
1203,"Geneva, NY Urban Cluster (2010)",49195
1204,"Geneva, OH Urban Cluster (2010)",32166
1205,"Genoa, IL Urban Cluster (2010)",67296
1206,"Genoa, OH Urban Cluster (2010)",62401
1207,"Georgetown, DE Urban Cluster (2010)",48343
1208,"Georgetown, KY Urban Cluster (2010)",66033
1209,"Georgetown, OH Urban Cluster (2010)",34427
1210,"Georgetown, SC Urban Cluster (2010)",34679
1211,"Gibson City, IL Urban Cluster (2010)",45536
1212,"Giddings, TX Urban Cluster (2010)",43500
1213,"Gillespie, IL Urban Cluster (2010)",41889
1214,"Gillette, WY Urban Cluster (2010)",79758
1215,"Gilman, IL Urban Cluster (2010)",49063
1216,"Gilmer, TX Urban Cluster (2010)",36465
1217,"Gilroy&Morgan Hill, CA Urbanized Area (2010)",110011
1218,"Girard, KS Urban Cluster (2010)",38810
1219,"Gladwin, MI Urban Cluster (2010)",37955
1220,"Glasgow, KY Urban Cluster (2010)",35284
1221,"Glasgow, MT Urban Cluster (2010)",53493
1222,"Glencoe, MN Urban Cluster (2010)",52727
1223,"Glendive, MT Urban Cluster (2010)",52469
1224,"Glennville, GA Urban Cluster (2010)",51555
1225,"Glens Falls, NY Urbanized Area (2010)",57121
1226,"Glenville, WV Urban Cluster (2010)",25125
1227,"Glenwood, IA Urban Cluster (2010)",61765
1228,"Glenwood, MD Urban Cluster (2010)",164844
1229,"Glenwood Springs, CO Urban Cluster (2010)",69706
1230,"Globe, AZ Urban Cluster (2010)",43666
1231,"Gloucester Courthouse, VA Urban Cluster (2010)",64191
1232,"Glouster, OH Urban Cluster (2010)",31654
1233,"Gloversville, NY Urban Cluster (2010)",43977
1234,"Gold Beach, OR Urban Cluster (2010)",44200
1235,"Golden Beach, MD Urban Cluster (2010)",86175
1236,"Goldendale, WA Urban Cluster (2010)",46875
1237,"Golden Gate Estates, FL Urban Cluster (2010)",80327
1238,"Goldsboro, NC Urbanized Area (2010)",40028
1239,"Gonzales, CA Urban Cluster (2010)",65527
1240,"Gonzales, TX Urban Cluster (2010)",47330
1241,"Gooding, ID Urban Cluster (2010)",35108
1242,"Goodland, KS Urban Cluster (2010)",54649
1243,"Goodrich, MI Urban Cluster (2010)",88875
1244,"Gothenburg, NE Urban Cluster (2010)",66587
1245,"Gouverneur, NY Urban Cluster (2010)",34340
1246,"Gowanda, NY Urban Cluster (2010)",43693
1247,"Graceville, FL Urban Cluster (2010)",34844
1248,"Grafton, ND Urban Cluster (2010)",52865
1249,"Grafton, WV Urban Cluster (2010)",38219
1250,"Graham, TX Urban Cluster (2010)",44971
1251,"Gramercy&Lutcher, LA Urban Cluster (2010)",57325
1252,"Granbury, TX Urban Cluster (2010)",62235
1253,"Grand Bay, AL Urban Cluster (2010)",67944
1254,"Grand Forks, ND&MN Urbanized Area (2010)",50495
1255,"Grand Forks AFB, ND Urban Cluster (2010)",57083
1256,"Grand Island, NE Urbanized Area (2010)",54751
1257,"Grand Junction, CO Urbanized Area (2010)",53086
1258,"Grand Rapids, MI Urbanized Area (2010)",60813
1259,"Grand Rapids, MN Urban Cluster (2010)",42045
1260,"Grand Saline, TX Urban Cluster (2010)",34702
1261,"Grandview, WA Urban Cluster (2010)",50233
1262,"Granger, WA Urban Cluster (2010)",48250
1263,"Grangerland, TX Urban Cluster (2010)",57167
1264,"Grangeville, ID Urban Cluster (2010)",43053
1265,"Granite Falls, MN Urban Cluster (2010)",58214
1266,"Granite Falls, WA Urban Cluster (2010)",73000
1267,"Granite Shoals, TX Urban Cluster (2010)",51061
1268,"Grants, NM Urban Cluster (2010)",40299
1269,"Grants Pass, OR Urbanized Area (2010)",43333
1270,"Grantsville, UT Urban Cluster (2010)",67132
1271,"Grantville, GA Urban Cluster (2010)",70074
1272,"Granville, NY&VT Urban Cluster (2010)",42679
1273,"Grass Valley, CA Urban Cluster (2010)",51528
1274,"Gray, GA Urban Cluster (2010)",56676
1275,"Grayling, MI Urban Cluster (2010)",34512
1276,"Grayson, KY Urban Cluster (2010)",32642
1277,"Great Barrington, MA Urban Cluster (2010)",48167
1278,"Great Bend, KS Urban Cluster (2010)",46646
1279,"Great Falls, MT Urbanized Area (2010)",46769
1280,"Greeley, CO Urbanized Area (2010)",57448
1281,"Green Bay, WI Urbanized Area (2010)",59403
1282,"Greenbrier, AR Urban Cluster (2010)",51250
1283,"Greencastle, IN Urban Cluster (2010)",47040
1284,"Greeneville, TN Urban Cluster (2010)",41313
1285,"Greenfield, CA Urban Cluster (2010)",59595
1286,"Greenfield, MA Urban Cluster (2010)",48294
1287,"Greenfield, OH Urban Cluster (2010)",28674
1288,"Green Forest, AR Urban Cluster (2010)",41591
1289,"Green River, WY Urban Cluster (2010)",74599
1290,"Greensboro, GA Urban Cluster (2010)",26989
1291,"Greensboro, NC Urbanized Area (2010)",51978
1292,"Greensburg, IN Urban Cluster (2010)",54419
1293,"Greentown, IN Urban Cluster (2010)",62517
1294,"Greenville, AL Urban Cluster (2010)",37639
1295,"Greenville, IL Urban Cluster (2010)",50519
1296,"Greenville, MI Urban Cluster (2010)",41325
1297,"Greenville, MS Urban Cluster (2010)",26410
1298,"Greenville, NC Urbanized Area (2010)",44674
1299,"Greenville, OH Urban Cluster (2010)",41933
1300,"Greenville, PA Urban Cluster (2010)",46264
1301,"Greenville, SC Urbanized Area (2010)",51839
1302,"Greenville, TX Urban Cluster (2010)",41600
1303,"Greenwich, NY Urban Cluster (2010)",62500
1304,"Greenwood, AR Urban Cluster (2010)",54759
1305,"Greenwood, MS Urban Cluster (2010)",26802
1306,"Greenwood, SC Urban Cluster (2010)",40620
1307,"Grenada, MS Urban Cluster (2010)",33554
1308,"Gridley, CA Urban Cluster (2010)",54304
1309,"Grifton, NC Urban Cluster (2010)",34977
1310,"Grinnell, IA Urban Cluster (2010)",46044
1311,"Grissom AFB, IN Urban Cluster (2010)",49375
1312,"Groesbeck, TX Urban Cluster (2010)",39912
1313,"Grottoes, VA Urban Cluster (2010)",51964
1314,"Grove, OK Urban Cluster (2010)",41099
1315,"Grove City, PA Urban Cluster (2010)",56449
1316,"Guadalupe, CA Urban Cluster (2010)",50864
1317,"Guayama, PR Urbanized Area (2010)",17559
1318,"Guerneville, CA Urban Cluster (2010)",63365
1319,"Gulfport, MS Urbanized Area (2010)",47451
1320,"Gun Barrel City, TX Urban Cluster (2010)",43599
1321,"Gun Lake, MI Urban Cluster (2010)",71524
1322,"Gunnison, CO Urban Cluster (2010)",40990
1323,"Gunnison, UT Urban Cluster (2010)",63690
1324,"Gustine, CA Urban Cluster (2010)",53667
1325,"Guthrie, OK Urban Cluster (2010)",40855
1326,"Guymon, OK Urban Cluster (2010)",51905
1327,"Gypsum, CO Urban Cluster (2010)",78075
1328,"Hagerstown, MD&WV&PA Urbanized Area (2010)",57597
1329,"Hailey, ID Urban Cluster (2010)",52359
1330,"Haleiwa&Waialua&Pupukea, HI Urban Cluster (2010)",89102
1331,"Haleyville, AL Urban Cluster (2010)",29748
1332,"Half Moon Bay, CA Urban Cluster (2010)",122064
1333,"Halls, TN Urban Cluster (2010)",38292
1334,"Hallsville, TX Urban Cluster (2010)",61656
1335,"Hamburg, AR Urban Cluster (2010)",37036
1336,"Hamilton, AL Urban Cluster (2010)",26061
1337,"Hamilton, MT Urban Cluster (2010)",33947
1338,"Hamilton, NY Urban Cluster (2010)",40208
1339,"Hamilton, TX Urban Cluster (2010)",41964
1340,"Hammond, LA Urbanized Area (2010)",45325
1341,"Hammonton, NJ Urban Cluster (2010)",69502
1342,"Hampshire, IL Urban Cluster (2010)",110071
1343,"Hampstead, NC Urban Cluster (2010)",77250
1344,"Hampton, IA Urban Cluster (2010)",51283
1345,"Hampton, SC Urban Cluster (2010)",33445
1346,"Hanceville, AL Urban Cluster (2010)",30521
1347,"Hanford, CA Urbanized Area (2010)",61842
1348,"Hannibal, MO Urban Cluster (2010)",43913
1349,"Hanover, PA Urbanized Area (2010)",60772
1350,"Hardeeville, SC Urban Cluster (2010)",38162
1351,"Hardin, MT Urban Cluster (2010)",46096
1352,"Hardyston Township West, NJ Urban Cluster (2010)",92438
1353,"Harlan, IA Urban Cluster (2010)",52031
1354,"Harlan, KY Urban Cluster (2010)",27006
1355,"Harlem, GA Urban Cluster (2010)",63211
1356,"Harlingen, TX Urbanized Area (2010)",37415
1357,"Harrah, OK Urban Cluster (2010)",58594
1358,"Harriman&Kingston&Rockwood, TN Urban Cluster (2010)",41849
1359,"Harrington, DE Urban Cluster (2010)",54000
1360,"Harrisburg, IL Urban Cluster (2010)",35288
1361,"Harrisburg, OR Urban Cluster (2010)",42018
1362,"Harrisburg, PA Urbanized Area (2010)",65091
1363,"Harrisburg, SD Urban Cluster (2010)",80380
1364,"Harrison, AR Urban Cluster (2010)",40143
1365,"Harrison, MI Urban Cluster (2010)",24153
1366,"Harrison, OH&IN Urban Cluster (2010)",58313
1367,"Harrisonburg, VA Urbanized Area (2010)",51618
1368,"Harrisonville, MO Urban Cluster (2010)",46539
1369,"Harrodsburg, KY Urban Cluster (2010)",40264
1370,"Hart, MI Urban Cluster (2010)",39282
1371,"Hartford, CT Urbanized Area (2010)",72181
1372,"Hartford City, IN Urban Cluster (2010)",36216
1373,"Hartshorne, OK Urban Cluster (2010)",38750
1374,"Hartsville, SC Urban Cluster (2010)",46661
1375,"Hartwell, GA Urban Cluster (2010)",30278
1376,"Harvard, IL Urban Cluster (2010)",51447
1377,"Haskell, TX Urban Cluster (2010)",35865
1378,"Hastings, MI Urban Cluster (2010)",58657
1379,"Hastings, MN Urban Cluster (2010)",71782
1380,"Hastings, NE Urban Cluster (2010)",47448
1381,"Hattiesburg, MS Urbanized Area (2010)",42412
1382,"Havana, FL Urban Cluster (2010)",30288
1383,"Havana, IL Urban Cluster (2010)",40417
1384,"Havelock, NC Urban Cluster (2010)",52010
1385,"Havre, MT Urban Cluster (2010)",48721
1386,"Hawaiian Paradise Park, HI Urban Cluster (2010)",51151
1387,"Hawkinsville, GA Urban Cluster (2010)",33828
1388,"Hawthorne, NV Urban Cluster (2010)",36993
1389,"Hays, KS Urban Cluster (2010)",50133
1390,"Hayti, MO Urban Cluster (2010)",23534
1391,"Hayward, WI Urban Cluster (2010)",33289
1392,"Hazard, KY Urban Cluster (2010)",48459
1393,"Hazel Green, AL Urban Cluster (2010)",63070
1394,"Hazlehurst, GA Urban Cluster (2010)",29006
1395,"Hazlehurst, MS Urban Cluster (2010)",27240
1396,"Hazleton, PA Urbanized Area (2010)",44863
1397,"Headland, AL Urban Cluster (2010)",57372
1398,"Hearne, TX Urban Cluster (2010)",52908
1399,"Heavener, OK Urban Cluster (2010)",37159
1400,"Hebbronville, TX Urban Cluster (2010)",30787
1401,"Heber, UT Urban Cluster (2010)",81767
1402,"Heber Springs, AR Urban Cluster (2010)",43194
1403,"Hebron, IN Urban Cluster (2010)",58942
1404,"Helena, MT Urban Cluster (2010)",60541
1405,"Helena-West Helena, AR Urban Cluster (2010)",21787
1406,"Hemet, CA Urbanized Area (2010)",45743
1407,"Hempstead, TX Urban Cluster (2010)",38467
1408,"Henderson, NC Urban Cluster (2010)",32232
1409,"Henderson, TN Urban Cluster (2010)",34500
1410,"Henderson, TX Urban Cluster (2010)",47232
1411,"Henrietta, TX Urban Cluster (2010)",44028
1412,"Henryetta, OK Urban Cluster (2010)",33081
1413,"Hereford, TX Urban Cluster (2010)",48676
1414,"Heritage Lake, IN Urban Cluster (2010)",69261
1415,"Hermiston, OR Urban Cluster (2010)",52875
1416,"Hesston, KS Urban Cluster (2010)",55221
1417,"Heyworth, IL Urban Cluster (2010)",79038
1418,"Hiawatha, KS Urban Cluster (2010)",40625
1419,"Hibbing, MN Urban Cluster (2010)",44347
1420,"Hickory, NC Urbanized Area (2010)",47100
1421,"Hicksville, OH Urban Cluster (2010)",60694
1422,"Hidden Valley Lake, CA Urban Cluster (2010)",70422
1423,"Higginsville, MO Urban Cluster (2010)",45493
1424,"Highland, IL Urban Cluster (2010)",62857
1425,"Highland Oaks, TX Urban Cluster (2010)",29479
1426,"High Point, NC Urbanized Area (2010)",47703
1427,"High Springs, FL Urban Cluster (2010)",50844
1428,"Hillsboro, IL Urban Cluster (2010)",50938
1429,"Hillsboro, KS Urban Cluster (2010)",46920
1430,"Hillsboro, MO Urban Cluster (2010)",56250
1431,"Hillsboro, OH Urban Cluster (2010)",33136
1432,"Hillsboro, TX Urban Cluster (2010)",43492
1433,"Hillsborough, NH Urban Cluster (2010)",70570
1434,"Hillsdale, MI Urban Cluster (2010)",42304
1435,"Hilmar-Irwin, CA Urban Cluster (2010)",64000
1436,"Hilo, HI Urban Cluster (2010)",62106
1437,"Hilton Head Island, SC Urbanized Area (2010)",77631
1438,"Hinesville, GA Urbanized Area (2010)",47429
1439,"Hinton, WV Urban Cluster (2010)",31058
1440,"Hobart, OK Urban Cluster (2010)",30083
1441,"Hobbs, NM Urban Cluster (2010)",59387
1442,"Hodgenville, KY Urban Cluster (2010)",31112
1443,"Hohenwald, TN Urban Cluster (2010)",31184
1444,"Hoisington, KS Urban Cluster (2010)",49597
1445,"Holbrook, AZ Urban Cluster (2010)",48750
1446,"Holden Beach, NC Urban Cluster (2010)",41406
1447,"Holdenville, OK Urban Cluster (2010)",32450
1448,"Holdrege, NE Urban Cluster (2010)",52184
1449,"Holiday Shores, IL Urban Cluster (2010)",99591
1450,"Holland, MI Urbanized Area (2010)",64575
1451,"Hollandale, MS Urban Cluster (2010)",37083
1452,"Hollister, CA Urban Cluster (2010)",84148
1453,"Holloman AFB, NM Urban Cluster (2010)",47240
1454,"Holly, MI Urban Cluster (2010)",59153
1455,"Holly Springs, MS Urban Cluster (2010)",27163
1456,"Holton, KS Urban Cluster (2010)",46008
1457,"Holtville, CA Urban Cluster (2010)",48261
1458,"Homedale, ID Urban Cluster (2010)",32824
1459,"Homer, LA Urban Cluster (2010)",16933
1460,"Homerville, GA Urban Cluster (2010)",21250
1461,"Homesteads Addition, TX Urban Cluster (2010)",57023
1462,"Hominy, OK Urban Cluster (2010)",35583
1463,"Homosassa Springs&Beverly Hills&Citrus Springs, FL Urbanized Area (2010)",42011
1464,"Hondo, TX Urban Cluster (2010)",51962
1465,"Honea Path, SC Urban Cluster (2010)",34199
1466,"Honeoye Falls, NY Urban Cluster (2010)",67656
1467,"Honesdale, PA Urban Cluster (2010)",39292
1468,"Honokaa, HI Urban Cluster (2010)",65368
1469,"Hood River, OR&WA Urban Cluster (2010)",66457
1470,"Hooks, TX Urban Cluster (2010)",44355
1471,"Hoopeston, IL Urban Cluster (2010)",44024
1472,"Hoosick Falls, NY Urban Cluster (2010)",54154
1473,"Hope, AR Urban Cluster (2010)",36581
1474,"Hopkinsville, KY Urban Cluster (2010)",39843
1475,"Horicon, WI Urban Cluster (2010)",58795
1476,"Hornell, NY Urban Cluster (2010)",43296
1477,"Horse Cave, KY Urban Cluster (2010)",30000
1478,"Horseshoe Bay, TX Urban Cluster (2010)",59877
1479,"Hot Springs, AR Urbanized Area (2010)",41530
1480,"Hot Springs, SD Urban Cluster (2010)",46893
1481,"Hot Springs Village, AR Urban Cluster (2010)",54327
1482,"Houghton, MI Urban Cluster (2010)",31400
1483,"Houghton Lake, MI Urban Cluster (2010)",40518
1484,"Houlton, ME Urban Cluster (2010)",31693
1485,"Houma, LA Urbanized Area (2010)",50605
1486,"Houston, MS Urban Cluster (2010)",39688
1487,"Houston, TX Urbanized Area (2010)",65723
1488,"Houtzdale, PA Urban Cluster (2010)",41250
1489,"Hudson, NY Urban Cluster (2010)",46360
1490,"Hudson, WI&MN Urban Cluster (2010)",82049
1491,"Hugo, OK Urban Cluster (2010)",26347
1492,"Hugoton, KS Urban Cluster (2010)",47730
1493,"Humboldt, IA Urban Cluster (2010)",54609
1494,"Humboldt, TN Urban Cluster (2010)",34776
1495,"Huntingburg, IN Urban Cluster (2010)",40967
1496,"Huntingdon, PA Urban Cluster (2010)",43397
1497,"Huntington, IN Urban Cluster (2010)",44425
1498,"Huntington, WV&KY&OH Urbanized Area (2010)",44308
1499,"Huntsville, AL Urbanized Area (2010)",65942
1500,"Huntsville, TX Urban Cluster (2010)",33226
1501,"Huron, CA Urban Cluster (2010)",25060
1502,"Huron, SD Urban Cluster (2010)",45781
1503,"Hurricane, UT Urban Cluster (2010)",51890
1504,"Hutchinson, KS Urban Cluster (2010)",45758
1505,"Hutchinson, MN Urban Cluster (2010)",57341
1506,"Huxley, IA Urban Cluster (2010)",87330
1507,"Idabel, OK Urban Cluster (2010)",33389
1508,"Idaho Falls, ID Urbanized Area (2010)",57977
1509,"Ilion&Herkimer, NY Urban Cluster (2010)",49099
1510,"Imlay City, MI Urban Cluster (2010)",35114
1511,"Immokalee, FL Urban Cluster (2010)",30560
1512,"Incline Village, NV&CA Urban Cluster (2010)",75420
1513,"Independence, IA Urban Cluster (2010)",57365
1514,"Independence, KS Urban Cluster (2010)",41891
1515,"Indiana, PA Urban Cluster (2010)",43224
1516,"Indianapolis, IN Urbanized Area (2010)",61243
1517,"Indianola, IA Urban Cluster (2010)",60388
1518,"Indianola, MS Urban Cluster (2010)",28906
1519,"Indianola, WA Urban Cluster (2010)",76272
1520,"Indiantown, FL Urban Cluster (2010)",39453
1521,"Indio&Cathedral City, CA Urbanized Area (2010)",54504
1522,"Ingleside&Aransas Pass, TX Urban Cluster (2010)",58833
1523,"Interlachen, FL Urban Cluster (2010)",33304
1524,"International Falls, MN Urban Cluster (2010)",47000
1525,"Iola, KS Urban Cluster (2010)",38500
1526,"Ione, CA Urban Cluster (2010)",72868
1527,"Ionia, MI Urban Cluster (2010)",48750
1528,"Iowa, LA Urban Cluster (2010)",44135
1529,"Iowa City, IA Urbanized Area (2010)",56567
1530,"Iowa Falls, IA Urban Cluster (2010)",44766
1531,"Iowa Park, TX Urban Cluster (2010)",56117
1532,"Iron Mountain&Kingsford, MI&WI Urban Cluster (2010)",44539
1533,"Iron River, MI Urban Cluster (2010)",33889
1534,"Ironton, MO Urban Cluster (2010)",31516
1535,"Ironwood, MI&WI Urban Cluster (2010)",32817
1536,"Irrigon, OR Urban Cluster (2010)",60792
1537,"Irvine, KY Urban Cluster (2010)",32910
1538,"Ishpeming, MI Urban Cluster (2010)",49339
1539,"Ithaca, NY Urbanized Area (2010)",50383
1540,"Itta Bena, MS Urban Cluster (2010)",18015
1541,"Jacksboro, TX Urban Cluster (2010)",36316
1542,"Jackson, AL Urban Cluster (2010)",29194
1543,"Jackson, CA Urban Cluster (2010)",51400
1544,"Jackson, GA Urban Cluster (2010)",40606
1545,"Jackson, KY Urban Cluster (2010)",31250
1546,"Jackson, MI Urbanized Area (2010)",44462
1547,"Jackson, MN Urban Cluster (2010)",49509
1548,"Jackson, MS Urbanized Area (2010)",53848
1549,"Jackson, TN Urbanized Area (2010)",45170
1550,"Jackson, WY Urban Cluster (2010)",78387
1551,"Jacksonville, FL Urbanized Area (2010)",59643
1552,"Jacksonville, IL Urban Cluster (2010)",44955
1553,"Jacksonville, NC Urbanized Area (2010)",46150
1554,"Jacksonville, TX Urban Cluster (2010)",41614
1555,"Jackson&Wellston, OH Urban Cluster (2010)",43326
1556,"Jaffrey, NH Urban Cluster (2010)",46162
1557,"Jamestown, NY Urban Cluster (2010)",39259
1558,"Jamestown, ND Urban Cluster (2010)",51758
1559,"Jamestown, OH Urban Cluster (2010)",59531
1560,"Janesville, WI Urbanized Area (2010)",56998
1561,"Jasper, AL Urban Cluster (2010)",50119
1562,"Jasper, FL Urban Cluster (2010)",39074
1563,"Jasper, GA Urban Cluster (2010)",47756
1564,"Jasper, IN Urban Cluster (2010)",55678
1565,"Jasper, TN Urban Cluster (2010)",50000
1566,"Jasper, TX Urban Cluster (2010)",38333
1567,"Jayuya, PR Urban Cluster (2010)",13981
1568,"Jeanerette, LA Urban Cluster (2010)",35313
1569,"Jean Lafitte, LA Urban Cluster (2010)",65909
1570,"Jefferson, GA Urban Cluster (2010)",66035
